DefID	Explicit	PackageList	Name
735	0	CraftComponent_BlackIron	;Anubian Deck Hand
741	0	CraftComponent_BlackIron	;Skrill Swarmguard*
775	0	CraftComponent_BlackIron	;Shieldfeather
776	0	CraftComponent_BlackIron	;Shieldfeather
862	0	CraftComponent_BlackIron	;Spellfeather
863	0	CraftComponent_BlackIron	;Spellfeather
864	0	CraftComponent_BlackIron	;Stormfeather
868	0	CraftComponent_BlackIron	;Ransacker
869	0	CraftComponent_BlackIron	;Ransacker
883	0	CraftComponent_BlackIron	;Skrill Sandspitter
884	0	CraftComponent_BlackIron	;Skrill Sandspitter
885	0	CraftComponent_BlackIron	;Skrill Swarmguard(implied)
947	0	CraftComponent_BlackIron	;Soulrot Shroomie
948	0	CraftComponent_BlackIron	;Soulrot Shroomie
950	0	CraftComponent_BlackIron	;Stump Slayer
951	0	CraftComponent_BlackIron	;Stump Slayer
1119	0	CraftComponent_BlackIron	;Black Shroomling Spore Cropper
1128	0	CraftComponent_BlackIron	;Cabalist*
1129	0	CraftComponent_BlackIron	;Occultist*
1169	0	CraftComponent_BlackIron	;Fateweaver Broodling(implied)
1169	0	CraftComponent_BlackIron	;Fateweaver Broodling(implied)
1466	0	CraftComponent_BlackIron	;Ambercoast Scuttler(implied)
1468	0	CraftComponent_BlackIron	;Ambercoast Scuttler*
1473	0	CraftComponent_BlackIron	;Dustspinner
1474	0	CraftComponent_BlackIron	;Sandmother
2542	0	CraftComponent_BlackIron	;Fateweaver Broodling*
12	0	CraftComponent_FineWool	;Convert
14	0	CraftComponent_FineWool	;Convert(implied)
17	0	CraftComponent_FineWool	;Moon Dancer
18	0	CraftComponent_FineWool	;Moon Dancer
19	0	CraftComponent_FineWool	;Raised Soul
20	0	CraftComponent_FineWool	;Raised Soul
21	0	CraftComponent_FineWool	;Jengal Narglor
32	0	CraftComponent_FineWool	;Jek Jumptail
282	0	CraftComponent_FineWool	;Templar
283	0	CraftComponent_FineWool	;Dweamorist
284	0	CraftComponent_FineWool	;Templar
285	0	CraftComponent_FineWool	;Dweamorist
287	0	CraftComponent_FineWool	;Briarbearer
292	0	CraftComponent_FineWool	;Ritualist
293	0	CraftComponent_FineWool	;Risen Bones(implied)
296	0	CraftComponent_FineWool	;Ritualist
302	0	CraftComponent_FineWool	;Risen Bones
303	0	CraftComponent_FineWool	;High Ritualist
319	0	CraftComponent_FineWool	;Possessed Monk
320	0	CraftComponent_FineWool	;Diabolical Abbot
323	0	CraftComponent_FineWool	;Raving Cenobite
1692	0	CraftComponent_FineWool	;Ruffian
1693	0	CraftComponent_FineWool	;Ruffian
1694	0	CraftComponent_FineWool	;Soothsayer
1698	0	CraftComponent_FineWool	;Goon
1699	0	CraftComponent_FineWool	;Goon(implied)
1702	0	CraftComponent_FineWool	;Scoundrel
1862	0	CraftComponent_FineWool	;Enthralled Deputy
1863	0	CraftComponent_FineWool	;Enthralled Deputy
1882	0	CraftComponent_FineWool	;Scoundrel
2411	0	CraftComponent_FineWool	;Disciple(implied)
2412	0	CraftComponent_FineWool	;Disciple
2413	0	CraftComponent_FineWool	;Fanatic
2414	0	CraftComponent_FineWool	;Fanatic
2416	0	CraftComponent_FineWool	;Sage(implied)
2430	0	CraftComponent_FineWool	;Templar Squire
2433	0	CraftComponent_FineWool	;Crypt Creeper
2442	0	CraftComponent_FineWool	;Possessed Monk(implied)
2444	0	CraftComponent_FineWool	;Ancient Abbot
2445	0	CraftComponent_FineWool	;Ancient Abbot(implied)
2544	0	CraftComponent_FineWool	;Sage
2545	0	CraftComponent_FineWool	;Sage(implied)
736	0	CraftComponent_Gloomberry	;Anubian Seafarer*
741	0	CraftComponent_Gloomberry	;Skrill Swarmguard*
756	0	CraftComponent_Gloomberry	;Ambermane Prowler
757	0	CraftComponent_Gloomberry	;Ambermane Prowler
758	0	CraftComponent_Gloomberry	;Fireridge Antlion
759	0	CraftComponent_Gloomberry	;Fireridge Antlion
764	0	CraftComponent_Gloomberry	;Dunehog
765	0	CraftComponent_Gloomberry	;Dunehog
883	0	CraftComponent_Gloomberry	;Skrill Sandspitter(implied)
884	0	CraftComponent_Gloomberry	;Skrill Sandspitter*
885	0	CraftComponent_Gloomberry	;Skrill Swarmguard(implied)
933	0	CraftComponent_Gloomberry	;Twistroot Timberfiend(implied)
